,Visual,Somatomotor,DorsalAttn,SalVentAttn,Limbic,FrontoParietal,DefaultMode,Complete
Sub_1_DMT,0.3973310208623006,0.37107058924188363,0.40114010007320733,0.3676710547275742,0.38537109190051516,0.3914214845470807,0.46719587793211764,0.3760898806105503
Sub_1_PLB,0.7462645560646348,0.7759306352800069,0.7235175832423426,0.7046111472522056,0.7055808327397327,0.705989035752991,0.7047164057208909,0.7360735334317016
Sub_2_DMT,0.616578937559215,0.574329698777312,0.5527351733957171,0.504496776641211,0.5104640472615861,0.550979639783343,0.5328061922364455,0.5271264639107655
Sub_2_PLB,0.9391369099660112,0.893372406325447,0.9242877999903237,0.9263222673127632,0.9033974271542968,0.9238551201898707,0.9205321823712481,0.922902866834457
Sub_3_DMT,0.826219868173663,0.769527871050274,0.5653333711125044,0.5471209253157459,0.5957159938302103,0.607347086369642,0.5589042909904685,0.6005444304436726
Sub_3_PLB,0.8069926370750308,0.7366074669478055,0.7864768997405605,0.7440393726897813,0.7597644373231953,0.7429001833752134,0.7629214243610855,0.7825087938466786
Sub_4_DMT,0.9165408623580358,0.869093610579737,0.8950353605899183,0.8935660866741528,0.8920108405924534,0.8954044223914732,0.9172655075034182,0.8789043297331769
Sub_4_PLB,0.7236867283507213,0.8221011187450374,0.7553246301924181,0.6672415491249961,0.6600063501340256,0.6315979593598765,0.5810885034593671,0.6790628218815703
Sub_5_DMT,0.9159794245781487,0.8753813011689402,0.8871924829965074,0.9260137167196621,0.894615329501325,0.9049490449307056,0.8637334437459158,0.8935125059076803
Sub_5_PLB,0.7300125618440395,0.7713991997166367,0.8777142386343785,0.7850013137378629,0.7869528745291758,0.8556043350578065,0.794844248898438,0.781343694716047
Sub_6_DMT,0.5720424219808233,0.5869130601070752,0.5695158037483539,0.5925793607704483,0.5742792138211132,0.5703169978343527,0.6094154086217759,0.5553154814615396
Sub_6_PLB,0.823141904932562,0.9203426510956023,0.8531834722756685,0.826417976282395,0.7841422265943696,0.794288133805824,0.7177717117533653,0.8071374718074612
Sub_7_DMT,0.8475065528640406,0.8229858256901987,0.8414313182962972,0.8150799796442417,0.8166483129870491,0.8439897813690639,0.8236614113766929,0.8137117375374439
Sub_7_PLB,0.5987595188260852,0.7845755677309552,0.5920185532602101,0.6802861690587055,0.5973980123402376,0.5933867624280642,0.6198072065269914,0.6382306048906494
Sub_8_DMT,0.7903127785945975,0.778799754125425,0.825911066244932,0.8012109498465707,0.8193905856883346,0.8199448298346119,0.7767988570150499,0.8134385600057958
Sub_8_PLB,0.8431252402322776,0.780004981826724,0.6470345878215191,0.6146580226916477,0.6339172940601245,0.6130732211163508,0.5474206634882377,0.6722615145754305
Sub_9_DMT,1.0010354108109005,1.1354102302127016,0.9870280254636574,0.9769314874344112,0.9937468711925452,1.0306929515983014,0.9817011872947201,0.9755951687296889
Sub_9_PLB,0.8357874966302011,0.7713743534417551,0.8375936050543704,0.8347207079822028,0.8484354035787366,0.9479625752588685,1.0492660231414512,0.8503621910978714
Sub_10_DMT,0.506805898247014,0.4658464648792583,0.43400189748551343,0.4102236503003921,0.402893425764088,0.4829721929401116,0.4134547840783129,0.4280103620372399
Sub_10_PLB,0.9496184954602919,0.8899511170989326,0.8739398076261816,0.8626866951709292,0.8872439271783925,0.908167083988707,0.9472028871537482,0.8518174848601527
Sub_11_DMT,0.8974090976473217,0.7771180915985134,0.7370268617520316,0.7017538971380198,0.7241660852057364,0.7119099021219939,0.699596442869183,0.758065988806361
Sub_11_PLB,0.8436116588660136,0.7586973690889491,0.8218420889696956,0.8186195938909764,0.8000889410882192,0.8244650767486694,0.8627670111986567,0.8184941844808347
Sub_12_DMT,0.24513965983311273,0.2810117135490896,0.24152418196930076,0.2283122652371546,0.2413675781573621,0.2417874261850661,0.267569705967746,0.24127136636046273
Sub_12_PLB,0.9490625675396199,0.9548634789649635,0.9270262766864862,0.9451169657964309,0.9228400533415192,0.9536055620762511,0.9833118585770217,0.9013165692989414
Sub_13_DMT,0.7459412180120957,0.8444807756892869,0.7996306219800925,0.7655586491361128,0.781771841817117,0.774385352695932,0.7335118988424575,0.7602966878658077
Sub_13_PLB,0.9674988856097642,0.9198699325565387,0.8324570407867189,0.757451929698587,0.8176425099769988,0.7585316673774869,0.6961408266725396,0.824622392567198
Sub_14_DMT,0.342912307846644,0.26801860337469524,0.30281178774116285,0.27407500472834095,0.2960997695669618,0.31725507282734944,0.3870348112974046,0.2831103709179479
Sub_14_PLB,0.7005795407942802,0.6191667493192509,0.6163662312418671,0.6873847175136915,0.6600215945129456,0.6473753294298885,0.5960455819311907,0.6286613555638995
Sub_15_DMT,0.6550427363077027,0.6674181549925757,0.6592018508457761,0.6124090097929356,0.6440035749963964,0.6480525900327023,0.5883356849562397,0.6573751452542581
Sub_15_PLB,0.6660905948391791,0.8526057831614148,0.5764039866044188,0.5615177204718987,0.5523582959366061,0.5156394582411913,0.45432472139928554,0.5979901017192615
Sub_16_DMT,0.6236754475608854,0.7319824948632886,0.6222658453905598,0.5672992026565009,0.5934445188566343,0.6487919304754513,0.5722943104794488,0.587954827123337
Sub_16_PLB,0.5677259519622464,0.5509574611926843,0.5617403884270252,0.5954363856831504,0.5758144235961804,0.6637170824746855,0.6915928414407104,0.6279714419185464
Sub_17_DMT,0.5637508773075901,0.7010555027901186,0.5093771143751231,0.5227422273877602,0.5340534911349446,0.48454925754699546,0.4564888910370698,0.539243540904628
Sub_17_PLB,0.5972198366739072,0.7649377158280802,0.5524781337898247,0.5714719292584999,0.584641685286358,0.5490382628339566,0.5869409922189255,0.5806673453476705
Sub_18_DMT,0.36506286508151664,0.33847516037960584,0.3773628645230302,0.3592333644654077,0.37434067069236004,0.36909881627358443,0.3854869169364578,0.3443471706040531
Sub_18_PLB,0.7777117701735876,0.9171433466592898,0.6947402128953414,0.619861905189543,0.6468736201549273,0.615538987450681,0.5332144605211074,0.6956897490130037
Sub_19_DMT,0.8845743334356733,0.8893736833385087,0.8809431841836461,0.8648486632420163,0.8669967184774391,0.8746947880700808,0.9335960066084021,0.8428174375378358
Sub_19_PLB,0.6647374533133015,0.7398927433128555,0.6706194434084628,0.6563454878030661,0.6069618803852714,0.5820389677269798,0.649620748193455,0.6046976934266196
Sub_20_DMT,,,,,,,,
Sub_20_PLB,,,,,,,,
