,Visual,Somatomotor,DorsalAttn,SalVentAttn,Limbic,FrontoParietal,DefaultMode,Complete
Sub_1_CTRL,0.8744775198225968,0.7460675663252407,0.8809412110072398,0.9648783785435964,0.8566044336447524,0.9489388009551967,1.0435068931140674,0.8817604892080315
Sub_1_SCHZ,0.7634646096171224,0.6988847450080353,1.0038692688371529,0.8180404247427081,0.8212397569678656,0.8731400998386063,0.8273397934465626,0.84775734262924
Sub_2_CTRL,0.527973975678583,0.8043781971129155,0.8192329405563725,0.9687128886044902,0.6968691252414728,0.7456727265253342,0.5919335339412715,0.8040736868957417
Sub_2_SCHZ,0.8129185919432753,0.9129196978735369,0.9609507044757255,0.9683439620728646,0.9308893983907996,0.8834031569745854,0.9507687488027239,0.858005337483348
Sub_3_CTRL,1.0433875066096623,1.1184315767676796,1.0940082697574003,0.8101149016476894,0.8754277708312971,0.7507122119859503,0.7698554595056116,0.9195958904402926
Sub_3_SCHZ,1.0529104593057144,1.1214866053468668,1.0006197523146685,1.2793158134941875,0.9843555130758744,1.0813827877847495,1.2810619785558672,1.0665374651025665
Sub_4_CTRL,1.028707866769306,1.0106222945225307,0.8617008198394748,0.96748713475892,0.9146887514771015,0.946181344383481,0.966797953966104,0.9082480321497656
Sub_4_SCHZ,0.8519174325424161,1.0412254981567672,0.9439267368501352,0.9962815817301074,0.9847639237033157,0.9678234221963311,1.0975785358761996,0.9564451642513883
Sub_5_CTRL,0.966135314811881,1.0183803900765922,0.9531307091633876,0.9757827123928886,0.9859972667338559,0.9919818784022569,0.9819510050866214,0.9203320687590839
Sub_5_SCHZ,1.141269993769137,1.2280165796707747,1.0952838421065683,1.1867956066321574,1.1223230313823134,1.1556928720245414,1.1522955553770764,1.0795696802654238
Sub_6_CTRL,0.6550342772407667,0.6296331450954564,0.9565033714789399,0.9628547713766127,0.8554611727215535,0.9105698068779189,1.0162295388563183,0.8628618155825011
Sub_6_SCHZ,1.020382443189373,0.8992003654504689,0.9358381464537814,1.1547437918385761,0.9076519734515524,0.9054791520197529,1.1502405419742456,0.9946901330242743
Sub_7_CTRL,0.5566461077890523,0.5132203712261987,0.6230758214599945,0.7474204703082469,0.6645107629049107,0.7323527125933074,0.6478286341027346,0.6520555135739075
Sub_7_SCHZ,0.944779161122883,0.7405045782963837,0.8880516636607428,0.8682550649580929,0.831041048690745,0.8795041076982189,0.891307327779429,0.7935739105637596
Sub_8_CTRL,0.7252288676591099,0.6922384480145364,0.7481066449806796,0.7031564675098683,0.722460969327026,0.7232490220698659,0.9531727547830593,0.7066599378113938
Sub_8_SCHZ,0.9644844759433913,1.054360376251123,1.0898445825896852,0.9434920340725285,1.0096049811718022,0.9758000444145487,0.8949447629612113,1.012611163873213
Sub_9_CTRL,0.8536099441631869,0.8479040805258746,0.7023334479154562,0.7115432352067679,0.8650182149396084,0.8727923524980558,1.0524630657547978,0.8147599160916551
Sub_9_SCHZ,1.0067145594965379,1.075603552033115,1.0427357283682201,0.8435081078249755,0.9793664231345479,1.0352040292720612,1.1230809644968311,0.9200900079041064
Sub_10_CTRL,0.965693724726903,1.1477101592706398,1.0719892949572736,1.3539837600932094,1.176195426604891,1.076181443890566,1.1049339398134284,1.173388700394169
Sub_10_SCHZ,0.9624904710995967,1.1580707201956477,0.9222794481807959,1.0383726303082965,0.8907139137028471,0.9180083747962973,0.9253415572097413,0.9048636129836163
Sub_11_CTRL,0.45137808277272545,0.47564527487523006,0.48949523476466794,0.5362437697231683,0.45836131930579016,0.5097775286909063,0.6102192191263267,0.5130260183788125
Sub_11_SCHZ,0.9291062308712712,1.0894070560810687,0.9225297314339663,0.9048667528213574,1.050847730768821,0.8728948737936563,1.0716223116861854,1.0355424467365928
Sub_12_CTRL,0.501371374277898,0.4887602320288439,0.45087724433310294,0.43789470030062916,0.45552064096629535,0.5216276744065922,0.6355263904593801,0.4569778190612686
Sub_12_SCHZ,1.0673229381932585,1.1744131110107912,0.8583472679711823,0.913785877038419,1.0099296697748488,0.9643991031012085,1.1090894100931092,0.8828701891015545
Sub_13_CTRL,0.723273755358423,0.5782560701619246,0.9044483791833713,0.6407156171523065,0.735698982512164,0.9662265213985508,0.7212804379795212,0.8005944753672198
Sub_13_SCHZ,0.8465794462382211,0.9320224668757492,0.8400249167035062,0.9429443987608025,0.9405291782790425,0.983125781612727,0.9089740375120158,0.8782795006607275
Sub_14_CTRL,0.7132621603801408,0.8678783670233903,0.6747107877569289,0.7682357386318815,0.7440936952337546,0.6376792977762783,0.7642265287960263,0.7113181551591369
Sub_14_SCHZ,0.842707086400177,0.861238369860034,0.7038337598085251,0.7851510184556548,0.7058537044504423,0.7588032117118424,0.9035543984230792,0.763161101182529
Sub_15_CTRL,0.42577319463176744,0.5446662812006167,0.6123294090880249,0.8293413488550405,0.574398072102624,0.5769030549706147,0.5823792954068276,0.6834197803932925
Sub_15_SCHZ,0.9845199881969696,0.9509028630262556,0.9874556840731177,0.9354967927968459,0.9554689479013534,0.9377061098196545,1.0173949612033144,0.9262067753394646
Sub_16_CTRL,0.7828709222363528,0.740402563286221,0.795575713034364,0.8085975584971159,0.823162687877085,0.7504538229441005,0.7598770480192935,0.8878255626282346
