,Visual,Somatomotor,DorsalAttn,SalVentAttn,Limbic,FrontoParietal,DefaultMode,Complete
Sub_1_Awake,0.7217390784485626,0.8359445845395227,0.46322673148241345,0.40454287949505774,0.4932278514900982,0.4661587239195746,0.40199131570239144,0.5319738230977544
Sub_1_Sedation,0.6197331949124264,0.6383519588674866,0.7626724615417679,0.8103651657325169,0.6884820796664054,0.683646061475249,0.5574512731246394,0.7531922779883822
Sub_1_Unconscious,0.6573837939493303,0.6836432762843909,0.6200124875660896,0.47731092666920716,0.5498386152474783,0.6322621083486145,0.4985457928431665,0.6071126165277607
Sub_1_Recovery,0.7150851909241638,0.7358419070115102,0.7357123814118767,0.8022026516187519,0.6627449758523715,0.6352820868166902,0.5429331074320255,0.6731223832424893
Sub_2_Awake,0.6190691082937578,0.6849558371781312,0.5348941461927785,0.41752385776605283,0.46236071803035317,0.4147236681834777,0.39548100425425387,0.4929459110772628
Sub_2_Sedation,0.4979339019495349,0.3937793185244892,0.527889926451808,0.5093255175251861,0.5096935904133482,0.49029300572872786,0.5666107796941,0.482260492494423
Sub_2_Unconscious,0.3027724853266235,0.31137302889453905,0.30827185612827007,0.3099246078813376,0.3000669584458746,0.2712168723923092,0.3149405088431304,0.2835565493176195
Sub_2_Recovery,0.7775778116506945,1.0684044383007933,0.7339162305757982,1.044519673817291,0.7436373389509799,0.7007296158322189,0.6632002928246374,0.8810822257057609
Sub_3_Awake,0.3445858862906879,0.43060352289045045,0.4673835782338592,0.4076271520484229,0.42901895386321887,0.45974465100775896,0.5251607497526576,0.45788206180397806
Sub_3_Sedation,0.8059886270227292,0.8303261824522687,0.8306747035556832,0.9676846565255793,0.833652068002708,0.8992253657509914,0.8291602167429406,0.8722627747302397
Sub_3_Unconscious,0.6749377398264473,0.6780573037689973,0.7926723870369617,0.5756526097352566,0.5784908360863308,0.579547267987478,0.47246523198471824,0.6937747585675137
Sub_3_Recovery,0.6889839686823556,0.7951724407684392,0.7315882810727465,0.8283572497122067,0.6795133584785855,0.6838681001534914,0.651166393330673,0.7492182393411229
Sub_4_Awake,0.9486473618482835,0.887341577890815,0.8525017848204195,0.8164139662199391,0.8907638466292965,0.7893483748286774,0.8517769060852458,0.9030419168222437
Sub_4_Sedation,0.806243822747776,0.6758187322952434,0.6313955149971868,0.6641171406945163,0.6935552787724316,0.747228878254654,0.6180280323428275,0.7205029332871069
Sub_4_Unconscious,0.5236592336669792,0.47711844391758085,0.5753432196319281,0.5162237595878164,0.5097621808363483,0.5600036512541047,0.5544195624140928,0.5251475448667157
Sub_4_Recovery,0.9460927321632988,0.7083204625517645,0.9503758684169015,0.955174170292327,0.860090833054698,0.8820992939865541,0.8730853361822695,0.9286650415838059
Sub_5_Awake,0.9138551996021855,0.9886950094441469,1.065930369119916,0.9678011203410849,0.9387005325616371,1.0400339355614325,0.9877869777030617,1.0316561999565266
Sub_5_Sedation,0.6603671945321302,0.5488555429440463,0.6655706099355049,0.6555142405859594,0.6695944363042916,0.5654982522244173,0.7393898384460337,0.6652401724380264
Sub_5_Unconscious,0.4847891848648769,0.505428381006259,0.7086895167368474,0.7478827710767615,0.5874255662936173,0.6642459211834073,0.7219950072565603,0.6652290678199144
Sub_5_Recovery,0.8539320040770342,0.8851945611260928,0.7136734236822009,0.6786425859036961,0.682831686663874,0.6505318252050319,0.4919230625413856,0.7453839669409044
Sub_6_Awake,0.5887094226022277,0.5024500663505105,0.41832535174954416,0.4438977004932541,0.4211152383686688,0.31687391356362327,0.397231000147203,0.4639495766920588
