,Visual,Somatomotor,DorsalAttn,SalVentAttn,Limbic,FrontoParietal,DefaultMode,Complete
Sub_1_LSD,0.5529025070210307,0.4865857928282922,0.4622973683334905,0.4717251380543539,0.49584783868997584,0.4703321990456235,0.5264269966597427,0.4560338762089259
Sub_1_PLB,0.4851590971710535,0.7802794570465169,0.5619070022192807,0.5630000635250851,0.48042320030673863,0.5435410396019374,0.4962173168636979,0.5049839635188264
Sub_2_LSD,0.6756076681119847,0.6105459793065138,0.6627598085467581,0.6517827489882624,0.5295874134994855,0.5407724512130119,0.5288924976959581,0.5393821342314633
Sub_2_PLB,0.5089407653544518,0.7307753908495671,0.5181493110232327,0.5467347486231412,0.48594121066847,0.4930022352143408,0.5558994488133281,0.5100202943236015
Sub_3_LSD,0.41468126031130625,0.49756852209653646,0.5085507138808661,0.5342478761249129,0.4820722788258984,0.47883975610853946,0.5713480552886826,0.4770172143072723
Sub_3_PLB,0.4977910456902664,0.5850065807191516,0.3522903586496967,0.3692692074094678,0.35134800504616387,0.34813495308862963,0.39067229790885094,0.34459726302517313
Sub_4_LSD,0.5496826537557602,0.6535089595753022,0.5686746129073834,0.5214805447344886,0.56405176339485,0.5682724244729752,0.6009403209216344,0.5695213774425326
Sub_4_PLB,0.516830370504615,0.8051592321795964,0.4926603185414791,0.5035707164129058,0.512484138326878,0.4644816516849998,0.48100432570332907,0.5245997616086959
Sub_5_LSD,0.510206214327243,0.5725749368179613,0.5053111530365941,0.5149566311725737,0.5575914754318378,0.5906122027623975,0.7766252177036572,0.5732357340365185
Sub_5_PLB,0.6811457722011524,0.8822730726851423,0.7081042448187931,0.5765159796020195,0.6204672879662944,0.6131026914320205,0.5918011013698281,0.6188609103708382
Sub_6_LSD,0.47497082741639884,0.6952312871187342,0.6345273119556483,0.639172354777099,0.5447327676395242,0.5461423635940481,0.6009485330683568,0.6063396990295936
Sub_6_PLB,0.6429103322107517,0.7849343255259864,0.646165704896333,0.7078271869787143,0.6520654202096321,0.6266099190939245,0.6218293255120704,0.6913593611114575
Sub_7_LSD,0.6541781002286761,0.7721189932554384,0.6680747967637195,0.7418169494183111,0.6170825712085399,0.6449252789104498,0.601672873513637,0.6866443920294782
Sub_7_PLB,0.7600749076866389,0.750916345330772,0.6632685806835295,0.6396339439259869,0.6260528718009171,0.5685675505158297,0.5494617374733208,0.6419039527350293
Sub_8_LSD,0.3610420064233314,0.47927828445035414,0.46795099270597024,0.4198150420805572,0.3557335726429339,0.379333653330936,0.37751549234916604,0.3862619591773248
Sub_8_PLB,0.8475595384112762,0.8547851656783504,0.6902261094294508,0.6951039196390972,0.6387637360025611,0.6305876738031666,0.7369915315087082,0.6816392583447859
Sub_9_LSD,0.6735815846545095,0.5354662003716465,0.6660828193704146,0.5507780643791276,0.7145806289391583,0.6888863943097425,0.7142350936565572,0.6708620179100502
Sub_9_PLB,0.4199550216943617,0.492295653899093,0.44659104634396235,0.4976830779288216,0.3974031099856566,0.4064512213284267,0.41578317440064694,0.41047505842323345
Sub_10_LSD,0.4954892760216948,0.6886170729743473,0.6629531527337302,0.6727225247923079,0.5586517615982508,0.5925694636246454,0.6202952924769489,0.5767395289792449
Sub_10_PLB,0.43841072527604064,0.47604373326095023,0.578962007855216,0.5242234798825127,0.41564452071277946,0.4346314383881643,0.4761427346465754,0.4382498150101304
Sub_11_LSD,0.8313280229503416,0.743369849049912,0.8141536356237756,0.7611607323577811,0.7331422576208098,0.7688886042446861,0.799564507155279,0.7441243536844367
Sub_11_PLB,0.400994345924597,0.44443042441728275,0.3596776112326013,0.41482756580991625,0.35865223133058516,0.33568242500007806,0.3659475483673477,0.36646584128725157
Sub_12_LSD,0.3821151750838407,0.4525593365712236,0.3972566227309441,0.41030124923988326,0.36770272268368187,0.42936031741901426,0.5286257229938565,0.36123418634574567
Sub_12_PLB,0.5830171288213124,0.5379530701917272,0.555490094982156,0.6208172998298,0.5486247969822238,0.6086234502492183,0.6931156264798428,0.5640944246199793
Sub_13_LSD,0.6852938165506858,0.8541699081167511,0.6880918156933797,0.7869392719780299,0.668772022133486,0.6829490781766101,0.6126391401210095,0.7225546346920201
Sub_13_PLB,0.7554313865581255,0.930410791658284,0.9074076190832363,0.951105394101641,0.9671937562670913,0.8295968653295542,0.8949257672417346,0.9981486526168366
Sub_14_LSD,0.5312596268655317,0.5458454876876664,0.552058671528903,0.5661902791943756,0.5233938764541073,0.5547985320222819,0.5492197513151289,0.5252490515548632
Sub_14_PLB,0.5000584822096044,0.5320470236205044,0.6349029629824077,0.6216619228099854,0.6166337527408546,0.6106054613515609,0.612566065204703,0.6033496095842789
Sub_15_LSD,0.48369804969472663,0.4260027779434723,0.33212549339719527,0.5206516828357548,0.4337931830221873,0.4250737674725943,0.5489143370656963,0.4043077817886295
Sub_15_PLB,0.4507166023841034,0.46232903035410383,0.5861407524703701,0.5338021257184626,0.5039897260258523,0.651326000549942,0.6411328703875087,0.532669568978444
